contract,act_symbol,expiration,call_put,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,date,stock_price,T,mid_price,risk_free_rate,BS_price,BT_price,MC_price,Random Forest_ML_price,XGBoost_ML_price,Linear Regression_ML_price,SVR_ML_price,BS_error,BT_error,MC_error,Random Forest_ML_error,XGBoost_ML_error,Linear Regression_ML_error,SVR_ML_error,BS_error_pct,BT_error_pct,MC_error_pct,Random Forest_ML_error_pct,XGBoost_ML_error_pct,Linear Regression_ML_error_pct,SVR_ML_error_pct
AAPL130111C00420000,AAPL,2013-01-11,call,420,A,104.95,,106.35,,0,1,08-01-2013,1.0,0.0,-1.2717,0.0,0.3686,2013-01-08,525.31002,0.00821917808219178,105.65,0.05,105.48258727828977,105.48258727826783,105.33381439046757,76.45225686902941,106.75434,-0.9291316179919491,119.39014422559616,-0.16741272171023525,-0.1674127217321768,-0.31618560953243957,-29.197743130970593,1.1043411254882756,-106.57913161799195,13.740144225596154,-0.15845974605796048,-0.15845974607872862,-0.2992764879625552,-27.636292599120292,1.0452826554550643,-100.87944308375954,13.00534238106593
AAPL130111P00420000,AAPL,2013-01-11,put,420,A,0.01,,0.02,,8,1312,08-01-2013,-0.0013,0.0001,-12.8858,0.1756,0.9385,2013-01-08,525.31002,0.00821917808219178,0.015,0.05,0.052358503478885154,0.04937619972572693,0.008117114622711119,8.900960287280503,0.019438807,100.95110068827539,119.39014422559616,0.037358503478885155,0.03437619972572693,-0.006882885377288881,8.885960287280502,0.004438806921243668,100.93610068827539,119.37514422559616,249.05668985923438,229.17466483817955,-45.88590251525921,59239.73524853668,29.592046141624458,672907.337921836,795834.2948373078
AAPL130111C00425000,AAPL,2013-01-11,call,425,A,99.25,,101.5,,0,0,08-01-2013,1.0,0.0,-1.2869,0.0,0.3686,2013-01-08,525.31002,0.00821917808219178,100.375,0.05,100.48464165087796,100.48464165067544,100.28989833062919,66.98390770139692,101.179504,0.16517597735646916,119.39014422559616,0.10964165087796118,0.10964165067544229,-0.08510166937081465,-33.391092298603084,0.80450439453125,-100.20982402264353,19.01514422559616,0.10923203076260142,0.10923203056083913,-0.08478373038188258,-33.26634351043894,0.8014987741282689,-99.83544111844934,18.94410383621037
AAPL130111P00425000,AAPL,2013-01-11,put,425,A,0.01,,0.03,,20,65,08-01-2013,-0.0016,0.0001,-15.5122,0.2178,0.9106,2013-01-08,525.31002,0.00821917808219178,0.02,0.05,0.06239673330671147,0.05961947430650929,0.0034572801255875934,10.851496322838173,-0.6083877,102.26460210602593,119.39014422559616,0.04239673330671147,0.03961947430650929,-0.016542719874412408,10.831496322838174,-0.6283877086639404,102.24460210602594,119.37014422559616,211.9836665335573,198.09737153254645,-82.71359937206203,54157.48161419086,-3141.938543319702,511223.0105301297,596850.7211279809
AAPL130111C00430000,AAPL,2013-01-11,call,430,A,94.95,,96.4,,0,2,08-01-2013,1.0,0.0,-1.302,0.0,0.3686,2013-01-08,525.31002,0.00821917808219178,95.67500000000001,0.05,95.48669602541901,95.4866960235707,95.40883395752624,61.43970756193597,95.41379,1.2594835727048803,119.39014422559616,-0.18830397458100379,-0.18830397642931018,-0.2661660424737704,-34.23529243806404,-0.26121215820313637,-94.41551642729513,23.71514422559615,-0.1968162786318304,-0.19681628056368974,-0.27819811076432754,-35.7829029924892,-0.2730202855533173,-98.68358131935733,24.78719020182508
AAPL130111C00420000,AAPL,2013-01-11,call,420,A,95.45,,98.3,,0,1,09-01-2013,1.0,0.0,-1.2717,0.0,0.4424,2013-01-09,517.100006,0.005479452054794521,96.875,0.05,97.21505873201511,97.21505873182403,97.25226812410448,73.56592301425528,98.755005,-1.1229443117253837,119.39014422559616,0.34005873201510894,0.3400587318240298,0.3772681241044751,-23.309076985744724,1.8800048828125,-97.99794431172538,22.51514422559616,0.35102836853172537,0.35102836833448237,0.3894380635917162,-24.060982694962295,1.940650201612903,-101.15916832178102,23.241439200615392
AAPL130111P00420000,AAPL,2013-01-11,put,420,A,0.0,,0.02,,10,1313,09-01-2013,0.0,0.0,0.0,0.0,0.5346,2013-01-09,517.100006,0.005479452054794521,0.01,0.05,2.3343134119419695e-07,1.0908532556084537e-07,0.0,9.06874525101222,0.14357446,104.51029476735536,119.39014422559616,-0.009999766568658806,-0.00999989091467444,-0.01,9.05874525101222,0.13357446134090423,104.50029476735536,119.38014422559615,-99.99766568658805,-99.9989091467444,-100.0,90587.45251012221,1335.7446134090421,1045002.9476735535,1193801.4422559617
AAPL130111C00425000,AAPL,2013-01-11,call,425,A,90.15,,93.55,,0,0,09-01-2013,1.0,0.0,-1.2869,0.0,0.4424,2013-01-09,517.100006,0.005479452054794521,91.85,0.05,92.21642840959191,92.21642840774842,92.15944659026434,65.338496835507,92.07878,-0.02863671637696541,119.39014422559616,0.3664284095919186,0.36642840774842966,0.3094465902643435,-26.511503164492993,0.22878112792969318,-91.87863671637696,27.540144225596165,0.3989421987935967,0.3989421967865321,0.33690428989041216,-28.863911991826885,0.24908124978736332,-100.03117769883177,29.983826048553258
AAPL130111P00425000,AAPL,2013-01-11,put,425,A,0.0,,0.02,,38,85,09-01-2013,0.0,0.0,0.0,0.0,0.5346,2013-01-09,517.100006,0.005479452054794521,0.01,0.05,1.2048602416125465e-06,6.796697877371526e-07,0.0,10.851496322838173,-0.4313308,105.60460236270379,119.39014422559616,-0.009998795139758388,-0.009999320330212263,-0.01,10.841496322838173,-0.44133080005645753,105.59460236270378,119.38014422559615,-99.98795139758388,-99.99320330212262,-100.0,108414.96322838172,-4413.308000564575,1055946.0236270376,1193801.4422559617
AAPL130111C00430000,AAPL,2013-01-11,call,430,A,85.5,,88.5,,0,2,09-01-2013,1.0,0.0,-1.302,0.0,0.4424,2013-01-09,517.100006,0.005479452054794521,87.0,0.05,87.21779810443081,87.21779809002327,87.21829715315637,60.299823341160966,86.97848,1.0656708789714315,119.39014422559616,0.2177981044308126,0.21779809002326544,0.21829715315637088,-26.700176658839034,-0.02152252197265625,-85.93432912102857,32.39014422559616,0.25034264877104895,0.25034263221064995,0.2509162679958286,-30.689858228550616,-0.02473853100305316,-98.77509094371099,37.23005083401858
